date,store,impressions,clicks,total cost,channel,revenue,ROI,CTR,CPC
2019-04-02,Store A,442586,10032,3993.19,channel_1,25893.68,6.484459792797237,0.02266678114535932,0.3980452551834131
2020-09-03,Store A,598741,12660,5522.14,channel_1,23652.77,4.283261561640958,0.02114436793204407,0.4361879936808847
2021-01-28,Store B,62277,4774,4598.86,channel_1,8213.75,1.7860404535036944,0.07665751400998763,0.9633137829912023
2019-05-15,Store B,93314,5623,3751.77,channel_1,5858.95,1.5616495680705373,0.060258910774374695,0.6672185666014583
2019-07-03,Store A,386700,10070,4345.33,channel_1,33710.54,7.757877997758514,0.02604085854667701,0.4315124131082423
2020-06-26,Store A,591611,14532,5927.799999999999,channel_1,37077.38,6.254829785080469,0.02456343779950001,0.40791357005229834
2020-09-22,Store A,555531,12072,5256.32,channel_1,26638.5,5.067899214659686,0.021730560490773692,0.4354141815772034
2019-02-05,Store A,410408,9068,3638.34,channel_1,22739.880000000005,6.250070086907766,0.022095085865772596,0.4012284958094398
2021-05-26,Store C,67423,1374,1316.83,channel_1,4336.47,3.29311300623467,0.020378802485798615,0.958391557496361
2020-06-05,Store C,162958,2762,1846.95,channel_1,3677.38,1.9910555239719538,0.01694915254237288,0.6687002172338885
2020-07-09,Store B,125465,8802,6513.44,channel_1,11148.58,1.7116270357906116,0.07015502331327461,0.7399954555782776
2020-03-22,Store C,164242,2213,1299.96,channel_1,2791.43,2.147319917535924,0.013474020043594208,0.5874197921373701
2020-06-03,Store A,600413,14825,5687.219999999999,channel_1,38721.0,6.808423095994177,0.024691337462713167,0.3836236087689713
2019-07-07,Store B,81785,5720,4123.54,channel_1,7213.52,1.7493512855459146,0.0699394754539341,0.7208986013986014
2019-03-14,Store A,300409,8144,3530.66,channel_1,28063.5,7.948513875592666,0.02710970709932126,0.433528978388998
2019-03-18,Store A,314846,9079,3827.37,channel_1,17672.07,4.617288111679822,0.02883631997865623,0.4215629474611741
2020-10-28,Store A,427237,10131,4772.42,channel_1,19947.21,4.179684520641519,0.023712833860363217,0.47107097028921135
2020-02-19,Store A,421912,9510,4060.04,channel_1,16438.74,4.048910848168984,0.02254024535922183,0.4269232386961094
2019-09-23,Store D,190863,3005,1624.48,channel_1,420.0,0.25854427262877966,0.015744277308855043,0.5405923460898503
2020-05-30,Store C,150681,2233,1263.97,channel_1,3670.12,2.903644864988884,0.014819386651269901,0.5660412001791312
2019-11-17,Store C,64439,1220,937.79,channel_1,1605.57,1.7120783970825024,0.018932633963903846,0.7686803278688524
2022-01-12,Store A,282942,8044,4318.97,channel_1,9946.05,2.3028754541013248,0.028429854881919264,0.536918199900547
2020-07-11,Store C,120938,2061,1354.79,channel_1,3244.41,2.394769669100008,0.017041790008103325,0.657345948568656
2020-07-11,Store A,590541,13439,5340.16,channel_1,27460.240000000005,5.1422129674017265,0.02275709899905341,0.3973628990252251
2020-11-10,Store B,66646,5345,4706.29,channel_1,7595.15,1.6138295770128912,0.08019986195720673,0.8805032740879326
2020-10-20,Store C,91141,1722,1469.09,channel_1,4249.030000000001,2.892287062058826,0.018893801911324212,0.8531300813008129
2021-09-12,Store B,58287,4403,4662.47,channel_1,9118.21,1.955660840713184,0.07554000034312969,1.058930274812628
2021-11-07,Store B,41598,3724,4532.24,channel_1,10032.14,2.2135059043651704,0.08952353478532622,1.2170354457572503
2021-10-14,Store A,261435,7172,3895.22,channel_1,18806.82,4.82817915291049,0.027433205194407787,0.5431148912437256
2022-03-21,Store A,267019,7809,4262.26,channel_1,13910.87,3.26373097840113,0.029245109898546544,0.5458138045844538
2020-09-18,Store C,137652,1843,1534.25,channel_1,4760.62,3.102897181033078,0.013388835614448029,0.8324742268041238
2021-07-01,Store B,49728,5095,5194.07,channel_1,9317.89,1.793947713450146,0.10245736808236808,1.0194445534838077
2022-05-31,Store C,51855,1003,1318.0700000000002,channel_1,2868.2,2.176060452024551,0.019342397068749396,1.3141276171485545
2022-06-17,Store A,169636,5767,3571.54,channel_1,13825.36,3.870980025423207,0.03399632153552312,0.6193063984740766
2021-02-20,Store D,23883,1822,1723.4,channel_1,1303.0099999999998,0.7560693977022164,0.07628857346229535,0.9458836443468717
2020-08-11,Store D,100177,2651,1828.49,channel_1,420.0,0.22969772872698238,0.026463160206434612,0.6897359486986043
2019-10-16,Store A,413747,9868,4459.24,channel_1,26338.43,5.906484064549116,0.023850323990264582,0.45188893392784757
2020-12-19,Store C,70892,1361,1152.92,channel_1,2118.03,1.8371005793983972,0.019198217006150202,0.847112417340191
2020-01-06,Store D,153176,2742,1568.0500000000002,channel_1,420.0,0.26784860176652525,0.017900976654306157,0.5718636032093363
2020-02-29,Store D,123156,2184,1623.41,channel_1,420.0,0.2587146808261622,0.017733606158043456,0.7433195970695972
2019-04-12,Store D,153781,2886,1966.24,channel_1,484.95,0.24663825372284157,0.018766947802394313,0.6813028413028414
2019-04-21,Store B,86021,4711,3092.51,channel_1,4864.22,1.572903563771823,0.054765696748468394,0.6564444916153683
2019-05-26,Store B,82184,4992,3455.69,channel_1,5340.48,1.5454164001979342,0.060741750219020736,0.692245592948718
2020-06-27,Store A,583636,14624,5553.58,channel_1,34742.99,6.255962820378927,0.0250567134309741,0.37975793216630194
2019-09-16,Store C,58528,1383,1112.65,channel_1,2009.01,1.8056082325978517,0.023629715691634773,0.8045191612436733
2019-10-07,Store C,75657,1470,1145.23,channel_1,4028.980000000001,3.5180531421635837,0.019429794995836473,0.7790680272108844
2019-01-03,Store A,440412,8592,3615.3200000000006,channel_1,14616.04,4.0428067225031254,0.019509005204217868,0.4207774674115457
2022-02-22,Store D,25786,1420,1453.9,channel_1,11456.129999999996,7.879585941261431,0.05506864189870472,1.0238732394366197
2022-04-18,Store A,279850,7375,3959.63,channel_1,23895.13,6.034687584446021,0.02635340360907629,0.5368989830508475
2021-12-19,Store C,39411,766,903.74,channel_1,2020.88,2.2361298603580675,0.019436198015782395,1.179817232375979
2020-01-21,Store D,134230,2649,1423.25,channel_1,420.0,0.29509924468645704,0.019734783580421664,0.5372782181955454
2020-02-19,Store C,137923,2094,1558.58,channel_1,4224.95,2.7107687767070026,0.015182384373889779,0.7443075453677173
2020-07-04,Store C,96399,1659,1147.83,channel_1,2867.47,2.498166104736764,0.017209722092552827,0.691880650994575
2019-03-04,Store C,149630,2236,1489.7,channel_1,2650.6399999999994,1.779311270725649,0.014943527367506516,0.6662343470483005
2021-06-23,Store A,246396,8960,5018.94,channel_1,19296.49,3.8447341470509717,0.036364226691991755,0.5601495535714285
2021-06-29,Store B,54230,5383,5912.110000000001,channel_1,11194.44,1.8934762715849331,0.09926240088511894,1.0982927735463497
2021-07-24,Store D,33422,1329,1341.83,channel_1,1284.47,0.9572524090234978,0.03976422715576566,1.0096538750940556
2020-11-28,Store B,47483,4761,5024.43,channel_1,7011.12,1.395406046058956,0.10026746414506245,1.0553308128544423
2020-12-13,Store B,68327,5501,5391.09,channel_1,9756.53,1.809750903806095,0.08050990091764602,0.9800199963642974
2021-05-10,Store D,38124,2200,2191.31,channel_1,5330.1,2.4323806307642464,0.0577064316441087,0.99605
2020-11-08,Store C,45454,1021,967.72,channel_1,2587.65,2.6739656098871576,0.022462269547234567,0.9478158667972576
2022-08-06,Store C,28442,687,897.1800000000001,channel_1,1161.19,1.2942664794132728,0.024154419520427538,1.305938864628821
2022-08-20,Store B,48531,3325,4279.030000000001,channel_1,6131.68,1.4329602737068914,0.06851290927448435,1.286926315789474
2022-01-07,Store A,279853,7361,3940.57,channel_1,8715.23,2.211667347617223,0.026303094839076228,0.5353307974459992
2022-03-24,Store D,25594,1753,2151.03,channel_1,4537.52,2.1094638382542317,0.06849261545674767,1.227056474614946
2021-08-18,Store A,263617,8544,4830.82,channel_1,35595.46,7.368409503976551,0.03241065636889882,0.5654049625468165
2021-10-01,Store C,65895,1197,1214.77,channel_1,3165.42,2.605777225318373,0.01816526291827908,1.01484544695071
2021-09-18,Store D,20356,1114,1202.31,channel_1,2422.87,2.0151791135397694,0.0547258793476125,1.0792728904847397
2021-10-20,Store C,67193,1311,1238.93,channel_1,7435.78,6.001775725827931,0.01951096096319557,0.945026697177727
2021-10-09,Store C,39854,855,916.17,channel_1,2587.1,2.8238209066003033,0.02145330456165002,1.0715438596491227
2021-10-13,Store A,254507,7343,4078.28,channel_1,20703.56,5.076542071657659,0.02885185869150947,0.5553969767125153
2019-12-11,Store C,73511,1434,1148.01,channel_1,2801.12,2.43997874582974,0.01950728462406987,0.8005648535564853
2020-12-21,Store C,59161,1252,1134.15,channel_1,2832.74,2.4976766741612657,0.021162590219908385,0.9058706070287541
2022-03-16,Store B,34701,3148,3656.2199999999993,channel_1,5497.86,1.5037005431839443,0.09071784674793233,1.1614421855146122
2022-01-19,Store B,37906,3601,4045.08,channel_1,6732.9,1.6644664629624135,0.09499815332665014,1.1233212996389892
2021-05-11,Store A,288597,10000,5454.46,channel_1,19680.2,3.608093193460031,0.03465039484124922,0.545446
2021-02-23,Store A,409667,10686,4975.26,channel_1,27420.8,5.511430558402978,0.026084600419364997,0.465586749017406
2021-04-10,Store D,27550,1867,1872.8,channel_1,1080.48,0.5769329346433149,0.06776769509981852,1.0031065881092662
2019-11-07,Store D,135004,2561,1683.7799999999995,channel_1,490.94,0.2915701576215421,0.018969808301976237,0.6574697383834438
2019-12-04,Store A,364752,9028,4559.43,channel_1,28150.38,6.174100709957165,0.024751063736456552,0.5050321222862206
2019-10-19,Store B,87714,4291,3090.37,channel_1,3783.77,1.2243744276575297,0.04892035478942928,0.7201980890235377
2019-01-31,Store B,98966,5420,3839.27,channel_1,8060.029999999999,2.099365243913556,0.05476628337004628,0.7083523985239852
2019-04-12,Store C,70716,1527,1212.74,channel_1,3070.76,2.532084370928641,0.021593415917189888,0.7941977734119188
